x_label;offset
0;1745780.6235551285
1;1989864.6273831371
2;1650831.0485091181
3;1382667.3084864875
4;1383873.7336308905
5;1370875.485893766
6;1415836.331216496
7;1304246.3203445168
8;1281252.241910155
9;1227588.719681853
10;1255514.859398603
11;1358255.826481439
12;1252557.7498423166
13;1178317.8731755656
14;1183922.331137952
15;1186582.8762373133
16;1086777.9830170027
17;1170634.2645164204
18;1245181.3843880943
19;1185060.0205793327
20;1072840.5990895752
21;1201593.3278018876
22;1194363.338442353
23;1118416.2694510221
24;1044988.5970361086
25;1123223.7353796363
26;1151114.193520416
27;1110380.111117968
28;970319.589289372
29;1050450.827208633
30;1090322.0706857545
31;1050101.888462201
32;1064583.602444532
33;1010002.9091794537
34;1091227.2100535005
35;1087084.8944420852
36;1006214.0264208808
37;1028131.8729268286
38;969775.8928682077
39;891931.5384689354
40;865451.1037719549
41;947190.0515661913
42;882615.3391022666
43;932367.7538398916
44;899433.215348756
45;701401.3099421193
46;882110.2616659456
47;898872.2461433511
48;708869.3247324582
49;753132.0551425532
